cl_CMB_lensing cl_CIB correlated_cls ell
1.2090579652790591e-06 2.669947501786669e-08 1.826064742023675e-08 190
1.364086566379777e-06 2.646445174695188e-08 1.389420093302814e-08 191
1.1585172064941698e-06 3.101954264365081e-08 3.219219062289106e-08 192
1.2731448447932582e-06 2.984785083676491e-08 1.899282139928241e-08 193
1.167116403588173e-06 2.91030033714232e-08 2.6077337024794524e-09 194
1.3054268176470495e-06 2.46958976370086e-08 1.418141556912772e-08 195
1.4697425296378028e-06 2.5354400365561565e-08 1.8837025557961216e-08 196
1.2785684019397428e-06 2.710923507862847e-08 2.7398116038917513e-08 197
1.3770759923032876e-06 2.6935967334830297e-08 2.6666510467158926e-08 198
1.2445396452948128e-06 2.4425080089584512e-08 1.4370965975864214e-08 199
1.4256806920937075e-06 2.564449763344714e-08 1.7223709156530652e-08 200
1.2691696672983447e-06 2.6126100857766437e-08 1.635179298710581e-08 201
1.2920828199995134e-06 2.856818753588758e-08 2.548342179390628e-08 202
1.2396901349378029e-06 2.377463692867807e-08 2.0454327818410864e-08 203
1.3432911246021503e-06 2.5355596125057975e-08 1.5306918299610466e-08 204
1.3762519156719275e-06 2.5826338935354477e-08 1.8407741556603315e-08 205
1.4036303785196127e-06 2.379392628137422e-08 1.83276378549585e-08 206
1.4183221573476338e-06 2.623162536223633e-08 1.0219372606233617e-08 207
1.2428129650445784e-06 2.4329609914499748e-08 3.190108226235117e-08 208
1.3974284236217415e-06 2.702761312989685e-08 3.234831031379874e-08 209
1.3624799413489158e-06 2.2502070454746384e-08 3.069115731679479e-08 210
1.3181811599483149e-06 2.6360097095349063e-08 1.9323938226574714e-08 211
1.2500201978433755e-06 2.2569119182773044e-08 1.595510921468501e-08 212
1.4225185390615977e-06 2.74440408347068e-08 2.1774209809577743e-08 213
1.221821945856764e-06 2.6241407128967014e-08 1.588527920022383e-08 214
1.1448643389213743e-06 2.310907755909173e-08 1.0172841283779693e-08 215
1.3753674944745748e-06 2.127325487509182e-08 3.280079063805691e-08 216
1.2428863627803408e-06 2.6485658843201238e-08 8.247410701153935e-09 217
1.156594855987474e-06 2.37880035384324e-08 1.5043170398890158e-08 218
1.2513623899061322e-06 2.4569096271002733e-08 3.2078146043003322e-09 219
1.246952567392869e-06 2.312982751572474e-08 1.808612864339237e-08 220
1.328400413668566e-06 2.4092149023458203e-08 -7.605530203611956e-10 221
1.1562314070334455e-06 2.4484658664320146e-08 1.034745990057966e-08 222
1.339988720796942e-06 2.1616308872036158e-08 1.6703214380764672e-08 223
1.253974469245553e-06 2.489146336920323e-08 -3.156069154481469e-09 224
1.332609897790182e-06 2.284182632455827e-08 1.4216545265674393e-08 225
1.240028262020261e-06 2.5884355169321363e-08 1.3443721855322354e-08 226
1.1270169980198087e-06 2.2331720448795154e-08 1.752279262942552e-08 227
1.3453066203472434e-06 2.2835198974032507e-08 3.226814233453774e-08 228
1.2782126037314896e-06 2.2567325049297973e-08 3.12652541066202e-08 229
1.29141067420177e-06 2.331810897635252e-08 2.379430504468795e-08 230
1.2708658673042296e-06 2.383482225426465e-08 1.5195414232499077e-08 231
1.2527547063613816e-06 2.1263626271123058e-08 2.1920011093283775e-08 232
1.3335624827197371e-06 2.2712246968214752e-08 2.425782694826451e-08 233
1.2528461210290503e-06 2.1355171738215286e-08 2.4441608839329774e-08 234
1.2878493529400404e-06 2.3468740318245402e-08 3.198095938538948e-08 235
1.2233300880037203e-06 2.1228840813793988e-08 1.342231806209491e-08 236
1.2812558592842496e-06 2.033479808787432e-08 2.544814721843322e-08 237
1.2225720792183905e-06 1.9826693620895096e-08 5.966483318285475e-09 238
1.2024354048181009e-06 2.1176065842875976e-08 2.8375987024253718e-08 239
1.5348416598942814e-06 2.259393207589784e-08 2.2845841913510823e-08 240
1.3908861236283933e-06 1.955083901826661e-08 5.683774580012717e-09 241
1.2261908397264075e-06 2.0853893309408634e-08 8.23390212556097e-09 242
1.2515784447811113e-06 2.2354610071476864e-08 6.230822639464744e-09 243
1.2578219304001182e-06 2.1256395554248623e-08 2.5789633441674015e-08 244
1.4997018422962956e-06 2.2559982692052777e-08 2.5430646839420044e-08 245
1.1971570217617882e-06 2.3278962123653867e-08 2.453428436928628e-08 246
1.2568476310264256e-06 2.12009010004412e-08 1.7276989346942375e-08 247
1.4442825669557735e-06 2.0077833057067673e-08 1.903247625526526e-08 248
1.2766053062324658e-06 2.0895859348068518e-08 1.0516745407353562e-08 249
1.3614171443520918e-06 2.0184446360427406e-08 2.4286106326204406e-08 250
1.3963720364217916e-06 1.9033789615376112e-08 1.605555307236421e-08 251
1.2219223961626145e-06 2.1043744702138453e-08 2.502301871188635e-08 252
1.510599908416649e-06 2.151275384376552e-08 3.3671297471302303e-08 253
1.3431463405561653e-06 1.8514575787068018e-08 2.3522610869443864e-08 254
1.3720437321437518e-06 2.2957284821563047e-08 2.7426672428496706e-08 255
1.3233386870317683e-06 1.9994788803565797e-08 2.765000073981804e-08 256
1.1845703642748342e-06 1.998951700714699e-08 5.236371780572247e-09 257
1.4079969113489776e-06 2.0092656054354726e-08 2.5307596719934953e-08 258
1.3384236723484751e-06 1.9010007929898285e-08 1.8644485485925613e-08 259
1.2614666939543161e-06 2.194628261059865e-08 1.6627957057850667e-08 260
1.469225018379039e-06 1.7576888845724427e-08 7.546850459538611e-09 261
1.3413168546553934e-06 1.988533467688489e-08 1.5176869963378784e-08 262
1.3011781619817612e-06 2.0352423432190708e-08 1.593725218362375e-08 263
1.3236723135293521e-06 2.0512926356677814e-08 1.634029249772476e-09 264
1.3566012862323247e-06 2.2621673365292895e-08 1.444056572577407e-08 265
1.4106538186634634e-06 1.9385623200975982e-08 2.282897894383095e-08 266
1.389681820560038e-06 2.210973971023304e-08 2.214435583546437e-08 267
1.4125953492959207e-06 2.0644123754781754e-08 2.4089786400765642e-08 268
1.4203666492166736e-06 1.9258354300250995e-08 2.2151793950798757e-08 269
1.34759467970705e-06 1.9641283204553905e-08 2.156348473207298e-08 270
1.3891270206034897e-06 2.0568353364634882e-08 1.019273862948424e-08 271
1.309990299203017e-06 1.8281058864567315e-08 2.304974619073117e-08 272
1.2520619805831593e-06 1.9231062031172912e-08 2.4740321675795157e-08 273
1.4676957051171139e-06 1.9132885888991832e-08 3.212387298953557e-09 274
1.2714495377243193e-06 1.781418166678206e-08 2.5682804342371372e-08 275
1.2633405634316534e-06 1.592818044058941e-08 4.82250654891017e-09 276
1.2157105910410352e-06 1.907284463103997e-08 1.7147587676542334e-08 277
1.2682814645212462e-06 1.786750787306294e-08 2.1795912939468952e-08 278
1.3151244157173677e-06 2.2331383684817316e-08 1.8707306827525787e-08 279
1.5010427242022438e-06 1.6533437366742304e-08 3.0186195740829973e-08 280
1.3549657846183632e-06 1.8654877434043903e-08 1.9527342922310893e-08 281
1.2793338053460599e-06 1.7664230204785232e-08 1.8308779535333665e-08 282
1.4486600247232355e-06 1.8664683048207e-08 1.8278275253612433e-08 283
1.453190167350144e-06 1.786736341387944e-08 1.4785065971547087e-08 284
1.480291238172064e-06 1.74322711673628e-08 2.7500769986256165e-08 285
1.3619984811332598e-06 1.7931261056760443e-08 2.0681075253562124e-08 286
1.3742357796912636e-06 1.873170585381064e-08 9.898575169022091e-09 287
1.2997990817266183e-06 1.8482203616093906e-08 2.39514162839024e-08 288
1.2850714238252047e-06 1.9222819199882433e-08 7.502118543156257e-09 289
1.4339776488855795e-06 1.8091385634995027e-08 1.1825951321552074e-08 290
1.3143273119897825e-06 1.654420792466647e-08 1.7980535502564898e-08 291
